tick,agent_id,action,x,y,other_agent_id,culture
210,0,build,2,0,,0
210,1,build,28,12,,0
210,2,move,28,12,,0
210,3,move,29,11,,0
210,4,move,45,-4,,0
210,5,move,39,20,,1
210,6,move,45,0,,1
210,7,move,28,15,,1
210,8,move,17,-4,,1
210,9,move,6,-20,,1
211,0,build,2,0,,0
211,1,move,28,12,,0
211,2,move,29,11,,0
211,3,move,30,10,,0
211,4,move,46,-3,,0
211,5,move,40,20,,1
211,6,move,44,-1,,1
211,7,move,27,15,,1
211,8,move,16,-5,,1
211,9,move,7,-20,,1
212,0,build,2,0,,0
212,1,build,29,11,,0
212,2,move,30,11,,0
212,3,move,29,10,,0
212,4,move,45,-4,,0
212,5,move,41,19,,1
212,6,move,45,-1,,1
212,7,move,28,15,,1
212,8,move,17,-5,,1
212,9,move,8,-21,,1
213,0,build,2,0,,0
213,1,build,29,11,,0
213,2,move,29,11,,0
213,3,move,28,9,,0
213,4,move,46,-5,,0
213,5,move,42,19,,1
213,6,move,46,-2,,1
213,7,move,29,15,,1
213,8,move,17,-6,,1
213,9,move,7,-22,,1
214,0,build,2,0,,0
214,1,build,29,11,,0
214,2,build,28,11,,0
214,3,move,29,10,,0
214,4,move,47,-4,,0
214,5,move,41,18,,1
214,6,move,46,-1,,1
214,7,move,28,15,,1
214,8,move,17,-7,,1
214,9,move,8,-21,,1
215,0,build,2,0,,0
215,1,move,29,11,,0
215,2,move,28,11,,0
215,3,move,28,9,,0
215,4,move,48,-5,,0
215,5,move,42,19,,1
215,6,move,46,0,,1
215,7,move,29,15,,1
215,8,move,18,-6,,1
215,9,move,8,-22,,1
216,0,build,2,0,,0
216,1,build,28,11,,0
216,2,move,29,11,,0
216,3,move,27,10,,0
216,4,move,49,-5,,0
216,5,move,42,20,,1
216,6,move,47,0,,1
216,7,move,28,15,,1
216,8,move,17,-7,,1
216,9,move,7,-23,,1
217,0,build,2,0,,0
217,1,build,28,11,,0
217,2,move,28,11,,0
217,3,move,26,11,,0
217,4,move,48,-6,,0
217,5,move,43,20,,1
217,6,move,48,-1,,1
217,7,move,29,16,,1
217,8,move,16,-7,,1
217,9,move,7,-24,,1
218,0,build,2,0,,0
218,1,build,28,11,,0
218,2,move,28,11,,0
218,3,move,27,11,,0
218,4,move,47,-5,,0
218,5,move,42,20,,1
218,6,move,49,-2,,1
218,7,move,28,15,,1
218,8,move,17,-7,,1
218,9,move,8,-23,,1
219,0,build,2,0,,0
219,1,build,28,11,,0
219,2,move,27,11,,0
219,3,move,28,11,,0
219,4,move,46,-6,,0
219,5,move,41,21,,1
219,6,move,48,-2,,1
219,7,move,28,14,,1
219,8,move,18,-8,,1
219,9,move,7,-23,,1
