tick,agent_id,action,x,y,other_agent_id,culture
220,0,build,2,0,,0
220,1,build,28,11,,0
220,2,move,28,11,,0
220,3,move,29,11,,0
220,4,move,45,-7,,0
220,5,move,40,22,,1
220,6,move,49,-2,,1
220,7,move,29,14,,1
220,8,move,19,-8,,1
220,9,move,6,-23,,1
221,0,build,2,0,,0
221,1,build,28,11,,0
221,2,move,29,11,,0
221,3,move,28,10,,0
221,4,move,45,-8,,0
221,5,move,40,23,,1
221,6,move,50,-1,,1
221,7,move,29,13,,1
221,8,move,18,-8,,1
221,9,move,5,-24,,1
222,0,build,2,0,,0
222,1,build,28,11,,0
222,2,move,28,11,,0
222,3,move,27,11,,0
222,4,move,46,-7,,0
222,5,move,41,23,,1
222,6,move,50,0,,1
222,7,move,29,12,,1
222,8,move,17,-7,,1
222,9,move,5,-23,,1
223,0,build,2,0,,0
223,1,build,28,11,,0
223,2,move,29,11,,0
223,3,move,27,10,,0
223,4,move,47,-7,,0
223,5,move,42,23,,1
223,6,move,49,0,,1
223,7,move,28,11,,1
223,8,move,17,-6,,1
223,9,move,5,-24,,1
224,0,build,2,0,,0
224,1,build,28,11,,0
224,2,move,30,11,,0
224,3,move,26,10,,0
224,4,move,47,-6,,0
224,5,move,43,22,,1
224,6,move,49,-1,,1
224,7,move,27,11,,1
224,8,move,18,-6,,1
224,9,move,4,-24,,1
225,0,build,2,0,,0
225,1,build,28,11,,0
225,2,build,28,11,,0
225,3,move,25,10,,0
225,4,move,46,-7,,0
225,5,move,44,23,,1
225,6,move,49,0,,1
225,7,move,26,10,,1
225,8,move,17,-5,,1
225,9,move,3,-23,,1
226,0,build,2,0,,0
226,1,move,28,11,,0
226,2,move,28,11,,0
226,3,move,24,11,,0
226,4,move,46,-6,,0
226,5,move,45,23,,1
226,6,move,50,0,,1
226,7,move,27,9,,1
226,8,move,18,-5,,1
226,9,move,4,-22,,1
227,0,build,2,0,,0
227,1,move,28,12,,0
227,2,move,24,11,,0
227,3,move,24,10,,0
227,4,move,45,-6,,0
227,5,move,44,22,,1
227,6,move,49,0,,1
227,7,move,27,8,,1
227,8,move,19,-4,,1
227,9,move,5,-23,,1
228,0,build,2,0,,0
228,1,build,28,11,,0
228,2,build,25,11,,0
228,3,move,25,10,,0
228,4,move,44,-6,,0
228,5,move,44,21,,1
228,6,move,48,1,,1
228,7,move,26,8,,1
228,8,move,18,-4,,1
228,9,move,6,-23,,1
229,0,build,2,0,,0
229,1,build,28,11,,0
229,2,move,25,11,,0
229,3,move,26,10,,0
229,4,move,44,-5,,0
229,5,move,44,22,,1
229,6,move,49,1,,1
229,7,move,25,8,,1
229,8,move,18,-5,,1
229,9,move,6,-24,,1
