tick,agent_id,action,x,y,other_agent_id,culture
70,0,build,0,0,,0
70,1,build,3,6,,0
70,2,build,3,6,,0
70,3,move,1,7,,0
70,4,move,16,-10,,0
70,5,move,11,14,,1
70,6,move,17,1,,1
70,7,move,10,10,,1
70,8,move,5,0,,1
70,9,move,10,-6,,1
71,0,build,0,0,,0
71,1,build,3,6,,0
71,2,build,3,6,,0
71,3,move,2,8,,0
71,4,move,17,-9,,0
71,5,move,11,13,,1
71,6,move,18,1,,1
71,7,move,10,11,,1
71,8,move,6,-1,,1
71,9,move,11,-7,,1
72,0,build,0,0,,0
72,1,move,3,6,,0
72,2,communicate,3,6,,0
72,3,move,3,7,,0
72,4,move,17,-10,,0
72,5,move,12,13,,1
72,6,move,17,2,,1
72,7,move,9,11,,1
72,8,move,5,0,,1
72,9,move,11,-8,,1
73,0,build,0,0,,0
73,1,move,3,5,,0
73,2,build,3,6,,0
73,3,move,4,7,,0
73,4,move,18,-10,,0
73,5,move,13,12,,1
73,6,move,18,3,,1
73,7,move,8,12,,1
73,8,move,6,0,,1
73,9,move,12,-8,,1
74,0,build,0,0,,0
74,1,build,3,6,,0
74,2,move,3,6,,0
74,3,move,5,7,,0
74,4,move,17,-10,,0
74,5,move,12,13,,1
74,6,move,19,3,,1
74,7,move,9,13,,1
74,8,move,5,0,,1
74,9,move,13,-7,,1
75,0,build,0,0,,0
75,1,build,3,6,,0
75,2,communicate,3,6,,0
75,3,move,6,7,,0
75,4,move,18,-9,,0
75,5,move,11,12,,1
75,6,move,20,2,,1
75,7,move,8,14,,1
75,8,move,6,1,,1
75,9,move,12,-8,,1
76,0,build,0,0,,0
76,1,build,3,6,,0
76,2,build,3,6,,0
76,3,move,7,7,,0
76,4,move,17,-10,,0
76,5,move,10,11,,1
76,6,move,20,1,,1
76,7,move,9,15,,1
76,8,move,5,2,,1
76,9,move,12,-9,,1
77,0,build,0,0,,0
77,1,move,3,6,,0
77,2,move,3,6,,0
77,3,move,8,6,,0
77,4,move,18,-9,,0
77,5,move,11,11,,1
77,6,move,20,0,,1
77,7,move,8,16,,1
77,8,move,6,2,,1
77,9,move,11,-8,,1
78,0,build,0,0,,0
78,1,build,3,6,,0
78,2,move,8,6,,0
78,3,move,9,7,,0
78,4,move,17,-9,,0
78,5,move,12,12,,1
78,6,move,20,1,,1
78,7,move,8,15,,1
78,8,move,7,1,,1
78,9,move,12,-9,,1
79,0,build,0,0,,0
79,1,move,3,6,,0
79,2,build,9,7,,0
79,3,move,9,8,,0
79,4,move,17,-10,,0
79,5,move,13,13,,1
79,6,move,20,0,,1
79,7,move,9,16,,1
79,8,move,6,2,,1
79,9,move,11,-9,,1
