tick,agent_id,action,x,y,other_agent_id,culture
280,0,build,2,0,,0
280,1,move,31,13,,0
280,2,move,35,8,,0
280,3,move,35,10,,0
280,4,move,57,-6,,0
280,5,move,53,13,,1
280,6,move,57,1,,1
280,7,move,34,15,,1
280,8,move,19,-1,,1
280,9,move,3,-20,,1
281,0,build,2,0,,0
281,1,move,32,13,,0
281,2,move,35,10,,0
281,3,move,36,10,,0
281,4,move,57,-5,,0
281,5,move,54,14,,1
281,6,move,56,2,,1
281,7,move,33,14,,1
281,8,move,20,-1,,1
281,9,move,2,-21,,1
282,0,build,2,0,,0
282,1,move,31,13,,0
282,2,build,36,10,,0
282,3,move,37,10,,0
282,4,move,58,-5,,0
282,5,move,54,15,,1
282,6,move,55,3,,1
282,7,move,32,15,,1
282,8,move,19,-2,,1
282,9,move,1,-22,,1
283,0,build,2,0,,0
283,1,move,32,13,,0
283,2,move,36,10,,0
283,3,move,37,11,,0
283,4,move,57,-6,,0
283,5,move,55,15,,1
283,6,move,55,4,,1
283,7,move,32,14,,1
283,8,move,20,-3,,1
283,9,move,1,-23,,1
284,0,build,2,0,,0
284,1,move,33,13,,0
284,2,move,37,11,,0
284,3,move,38,10,,0
284,4,move,57,-5,,0
284,5,move,56,15,,1
284,6,move,56,4,,1
284,7,move,33,14,,1
284,8,move,19,-4,,1
284,9,move,0,-23,,1
285,0,build,2,0,,0
285,1,move,34,13,,0
285,2,move,38,10,,0
285,3,move,39,10,,0
285,4,move,57,-4,,0
285,5,move,55,15,,1
285,6,move,55,3,,1
285,7,move,34,15,,1
285,8,move,19,-5,,1
285,9,move,0,-24,,1
286,0,build,2,0,,0
286,1,move,35,13,,0
286,2,move,39,10,,0
286,3,move,38,10,,0
286,4,move,56,-4,,0
286,5,move,54,14,,1
286,6,move,55,2,,1
286,7,move,35,16,,1
286,8,move,19,-6,,1
286,9,move,1,-24,,1
287,0,build,2,0,,0
287,1,build,36,13,,0
287,2,build,38,10,,0
287,3,move,37,9,,0
287,4,move,57,-4,,0
287,5,move,55,14,,1
287,6,move,56,2,,1
287,7,move,34,16,,1
287,8,move,20,-6,,1
287,9,move,1,-25,,1
288,0,build,2,0,,0
288,1,build,36,13,,0
288,2,build,38,10,,0
288,3,move,38,8,,0
288,4,move,56,-3,,0
288,5,move,55,13,,1
288,6,move,55,1,,1
288,7,move,34,15,,1
288,8,move,20,-7,,1
288,9,move,0,-24,,1
289,0,build,2,0,,0
289,1,build,36,13,,0
289,2,move,38,10,,0
289,3,move,39,7,,0
289,4,move,55,-4,,0
289,5,move,54,14,,1
289,6,move,54,0,,1
289,7,move,34,14,,1
289,8,move,21,-7,,1
289,9,move,1,-23,,1
