tick,agent_id,action,x,y,other_agent_id,culture
340,0,build,2,0,,0
340,1,move,45,6,,0
340,2,move,46,7,,0
340,3,move,45,6,,0
340,4,move,67,-5,,0
340,5,move,62,17,,1
340,6,move,60,-11,,1
340,7,move,27,9,,1
340,8,move,29,-8,,1
340,9,move,5,-29,,1
341,0,build,2,0,,0
341,1,move,46,7,,0
341,2,build,45,6,,0
341,3,move,44,7,,0
341,4,move,66,-6,,0
341,5,move,61,16,,1
341,6,move,59,-11,,1
341,7,move,28,9,,1
341,8,move,29,-9,,1
341,9,move,5,-28,,1
342,0,build,2,0,,0
342,1,move,47,7,,0
342,2,move,45,6,,0
342,3,move,44,8,,0
342,4,move,65,-5,,0
342,5,move,62,15,,1
342,6,move,58,-12,,1
342,7,move,27,9,,1
342,8,move,30,-9,,1
342,9,move,5,-27,,1
343,0,build,2,0,,0
343,1,move,45,6,,0
343,2,build,46,6,,0
343,3,move,45,7,,0
343,4,move,65,-4,,0
343,5,move,63,16,,1
343,6,move,57,-11,,1
343,7,move,26,10,,1
343,8,move,29,-9,,1
343,9,move,6,-27,,1
344,0,build,2,0,,0
344,1,build,46,6,,0
344,2,move,46,6,,0
344,3,move,46,6,,0
344,4,move,65,-5,,0
344,5,move,62,15,,1
344,6,move,58,-11,,1
344,7,move,26,9,,1
344,8,move,29,-10,,1
344,9,move,6,-28,,1
345,0,build,2,0,,0
345,1,move,46,6,,0
345,2,move,47,6,,0
345,3,move,46,5,,0
345,4,move,66,-6,,0
345,5,move,62,16,,1
345,6,move,59,-11,,1
345,7,move,25,10,,1
345,8,move,29,-9,,1
345,9,move,6,-27,,1
346,0,build,2,0,,0
346,1,move,47,6,,0
346,2,move,46,6,,0
346,3,move,47,5,,0
346,4,move,66,-5,,0
346,5,move,61,17,,1
346,6,move,58,-12,,1
346,7,move,25,9,,1
346,8,move,29,-10,,1
346,9,move,6,-28,,1
347,0,build,2,0,,0
347,1,build,46,6,,0
347,2,build,47,6,,0
347,3,move,46,5,,0
347,4,move,65,-4,,0
347,5,move,60,17,,1
347,6,move,58,-11,,1
347,7,move,25,8,,1
347,8,move,28,-10,,1
347,9,move,5,-29,,1
348,0,build,2,0,,0
348,1,move,46,6,,0
348,2,move,47,6,,0
348,3,move,47,5,,0
348,4,move,66,-4,,0
348,5,move,59,18,,1
348,6,move,59,-10,,1
348,7,move,24,9,,1
348,8,move,27,-10,,1
348,9,move,6,-28,,1
349,0,build,2,0,,0
349,1,move,47,6,,0
349,2,move,46,6,,0
349,3,move,47,6,,0
349,4,move,65,-5,,0
349,5,move,60,18,,1
349,6,move,58,-11,,1
349,7,move,24,8,,1
349,8,move,28,-11,,1
349,9,move,5,-29,,1
