tick,agent_id,action,x,y,other_agent_id,culture
90,0,build,0,0,,0
90,1,move,9,1,,0
90,2,build,10,1,,0
90,3,move,3,-6,,0
90,4,move,7,1,,0
90,5,move,16,4,,1
90,6,move,13,4,,1
90,7,move,13,7,,1
90,8,move,3,13,,1
90,9,move,11,-7,,1
91,0,build,0,0,,0
91,1,build,10,1,,0
91,2,build,10,1,,0
91,3,move,2,-7,,0
91,4,move,6,2,,0
91,5,move,17,5,,1
91,6,move,14,4,,1
91,7,move,14,7,,1
91,8,move,4,13,,1
91,9,move,10,-6,,1
92,0,build,0,0,,0
92,1,move,10,1,,0
92,2,move,10,1,,0
92,3,move,1,-6,,0
92,4,move,7,3,,0
92,5,move,16,4,,1
92,6,move,15,4,,1
92,7,move,14,6,,1
92,8,move,4,14,,1
92,9,move,11,-7,,1
93,0,build,0,0,,0
93,1,move,10,1,,0
93,2,move,9,1,,0
93,3,move,2,-5,,0
93,4,move,8,2,,0
93,5,move,15,5,,1
93,6,move,16,4,,1
93,7,move,13,5,,1
93,8,move,3,13,,1
93,9,move,10,-7,,1
94,0,build,0,0,,0
94,1,move,9,1,,0
94,2,communicate,10,1,,0
94,3,move,2,-6,,0
94,4,move,8,1,,0
94,5,move,16,4,,1
94,6,move,17,3,,1
94,7,move,13,6,,1
94,8,move,4,14,,1
94,9,move,11,-6,,1
95,0,build,0,0,,0
95,1,move,10,1,,0
95,2,move,10,1,,0
95,3,move,3,-7,,0
95,4,move,7,2,,0
95,5,move,17,3,,1
95,6,move,16,3,,1
95,7,move,13,5,,1
95,8,move,3,15,,1
95,9,move,12,-5,,1
96,0,build,0,0,,0
96,1,build,10,2,,0
96,2,build,9,1,,0
96,3,move,3,-6,,0
96,4,move,8,1,,0
96,5,move,18,3,,1
96,6,move,15,4,,1
96,7,move,12,4,,1
96,8,move,4,15,,1
96,9,move,11,-5,,1
97,0,build,0,0,,0
97,1,build,10,2,,0
97,2,move,9,1,,0
97,3,move,2,-5,,0
97,4,move,7,0,,0
97,5,move,17,4,,1
97,6,move,14,3,,1
97,7,move,13,4,,1
97,8,move,5,15,,1
97,9,move,10,-6,,1
98,0,build,0,0,,0
98,1,build,10,2,,0
98,2,build,10,1,,0
98,3,move,3,-5,,0
98,4,move,8,1,,0
98,5,move,16,4,,1
98,6,move,15,4,,1
98,7,move,12,4,,1
98,8,move,5,16,,1
98,9,move,11,-5,,1
99,0,build,0,0,,0
99,1,build,10,2,,0
99,2,move,10,1,,0
99,3,move,4,-4,,0
99,4,move,9,1,,0
99,5,move,17,5,,1
99,6,move,16,4,,1
99,7,move,13,4,,1
99,8,move,4,16,,1
99,9,move,11,-6,,1
