tick,agent_id,action,x,y,other_agent_id,culture
140,0,build,0,0,,0
140,1,build,23,13,,0
140,2,build,23,13,,0
140,3,move,25,15,,0
140,4,move,29,-4,,0
140,5,move,26,16,,1
140,6,move,25,-3,,1
140,7,move,13,15,,1
140,8,move,6,3,,1
140,9,move,0,-16,,1
141,0,build,0,0,,0
141,1,move,23,13,,0
141,2,move,23,13,,0
141,3,move,24,15,,0
141,4,move,30,-4,,0
141,5,move,27,16,,1
141,6,move,25,-4,,1
141,7,move,12,14,,1
141,8,move,7,4,,1
141,9,move,0,-17,,1
142,0,build,0,0,,0
142,1,move,23,13,,0
142,2,communicate,24,15,,0
142,3,move,24,16,,0
142,4,move,29,-4,,0
142,5,move,27,17,,1
142,6,move,26,-4,,1
142,7,move,11,14,,1
142,8,move,7,3,,1
142,9,move,1,-17,,1
143,0,build,0,0,,0
143,1,move,23,14,,0
143,2,communicate,24,15,,0
143,3,move,23,15,,0
143,4,move,30,-5,,0
143,5,move,28,16,,1
143,6,move,27,-4,,1
143,7,move,12,14,,1
143,8,move,8,3,,1
143,9,move,0,-16,,1
144,0,build,0,0,,0
144,1,move,24,14,,0
144,2,build,24,15,,0
144,3,move,24,15,,0
144,4,move,29,-5,,0
144,5,move,27,17,,1
144,6,move,27,-5,,1
144,7,move,12,13,,1
144,8,move,8,2,,1
144,9,move,-1,-15,,1
145,0,build,0,0,,0
145,1,move,25,14,,0
145,2,build,24,15,,0
145,3,move,25,16,,0
145,4,move,29,-4,,0
145,5,move,28,18,,1
145,6,move,26,-4,,1
145,7,move,11,13,,1
145,8,move,7,1,,1
145,9,move,-2,-16,,1
146,0,build,0,0,,0
146,1,build,24,15,,0
146,2,move,24,15,,0
146,3,move,24,16,,0
146,4,move,29,-5,,0
146,5,move,29,19,,1
146,6,move,26,-3,,1
146,7,move,12,12,,1
146,8,move,6,1,,1
146,9,move,-1,-16,,1
147,0,build,0,0,,0
147,1,move,24,15,,0
147,2,move,24,16,,0
147,3,move,25,15,,0
147,4,move,30,-5,,0
147,5,move,29,18,,1
147,6,move,25,-3,,1
147,7,move,11,13,,1
147,8,move,6,2,,1
147,9,move,-1,-15,,1
148,0,build,0,0,,0
148,1,move,24,16,,0
148,2,move,25,15,,0
148,3,move,26,14,,0
148,4,move,31,-5,,0
148,5,move,30,18,,1
148,6,move,26,-4,,1
148,7,move,10,12,,1
148,8,move,7,2,,1
148,9,move,-2,-16,,1
149,0,build,0,0,,0
149,1,move,24,15,,0
149,2,move,26,14,,0
149,3,move,27,14,,0
149,4,move,32,-6,,0
149,5,move,31,19,,1
149,6,move,25,-4,,1
149,7,move,9,12,,1
149,8,move,8,1,,1
149,9,move,-2,-17,,1
