tick,agent_id,action,x,y,other_agent_id,culture
300,0,build,2,0,,0
300,1,build,38,13,,0
300,2,move,39,13,,0
300,3,move,43,7,,0
300,4,move,58,-3,,0
300,5,move,55,19,,1
300,6,move,52,-5,,1
300,7,move,34,19,,1
300,8,move,22,-4,,1
300,9,move,-2,-24,,1
301,0,build,2,0,,0
301,1,build,38,13,,0
301,2,move,40,13,,0
301,3,move,43,8,,0
301,4,move,59,-4,,0
301,5,move,56,19,,1
301,6,move,53,-5,,1
301,7,move,35,19,,1
301,8,move,21,-4,,1
301,9,move,-3,-25,,1
302,0,build,2,0,,0
302,1,build,38,13,,0
302,2,move,41,13,,0
302,3,move,44,8,,0
302,4,move,59,-3,,0
302,5,move,56,18,,1
302,6,move,52,-6,,1
302,7,move,35,20,,1
302,8,move,21,-5,,1
302,9,move,-2,-24,,1
303,0,build,2,0,,0
303,1,move,38,13,,0
303,2,move,38,13,,0
303,3,move,44,9,,0
303,4,move,60,-3,,0
303,5,move,55,18,,1
303,6,move,52,-5,,1
303,7,move,36,20,,1
303,8,move,20,-5,,1
303,9,move,-3,-23,,1
304,0,build,2,0,,0
304,1,build,38,12,,0
304,2,build,44,9,,0
304,3,move,43,10,,0
304,4,move,61,-2,,0
304,5,move,56,17,,1
304,6,move,52,-4,,1
304,7,move,36,19,,1
304,8,move,19,-4,,1
304,9,move,-2,-22,,1
305,0,build,2,0,,0
305,1,move,38,12,,0
305,2,move,44,9,,0
305,3,move,43,11,,0
305,4,move,61,-1,,0
305,5,move,57,17,,1
305,6,move,51,-3,,1
305,7,move,36,18,,1
305,8,move,20,-5,,1
305,9,move,-1,-23,,1
306,0,build,2,0,,0
306,1,build,38,13,,0
306,2,build,43,9,,0
306,3,move,43,12,,0
306,4,move,62,-1,,0
306,5,move,56,18,,1
306,6,move,50,-4,,1
306,7,move,37,17,,1
306,8,move,21,-6,,1
306,9,move,-2,-24,,1
307,0,build,2,0,,0
307,1,build,38,13,,0
307,2,move,43,9,,0
307,3,move,44,12,,0
307,4,move,61,-1,,0
307,5,move,57,18,,1
307,6,move,51,-5,,1
307,7,move,38,18,,1
307,8,move,22,-5,,1
307,9,move,-2,-25,,1
308,0,build,2,0,,0
308,1,build,38,13,,0
308,2,move,44,12,,0
308,3,move,45,12,,0
308,4,move,62,-1,,0
308,5,move,58,18,,1
308,6,move,50,-6,,1
308,7,move,39,18,,1
308,8,move,21,-4,,1
308,9,move,-3,-24,,1
309,0,build,2,0,,0
309,1,move,38,13,,0
309,2,move,45,12,,0
309,3,move,44,11,,0
309,4,move,63,-1,,0
309,5,move,59,18,,1
309,6,move,49,-5,,1
309,7,move,38,18,,1
309,8,move,20,-5,,1
309,9,move,-3,-25,,1
