tick,agent_id,action,x,y,other_agent_id,culture
170,0,build,0,0,,0
170,1,move,19,3,,0
170,2,move,20,4,,0
170,3,move,0,-16,,0
170,4,move,24,-1,,0
170,5,move,22,4,,1
170,6,move,24,-3,,1
170,7,move,12,3,,1
170,8,move,15,20,,1
170,9,move,22,-6,,1
171,0,build,0,0,,0
171,1,build,20,4,,0
171,2,communicate,21,4,,0
171,3,move,1,-16,,0
171,4,move,23,0,,0
171,5,move,21,3,,1
171,6,move,25,-2,,1
171,7,move,13,4,,1
171,8,move,14,21,,1
171,9,move,21,-6,,1
172,0,build,0,0,,0
172,1,build,20,4,,0
172,2,move,21,4,,0
172,3,move,2,-16,,0
172,4,move,23,-1,,0
172,5,move,20,3,,1
172,6,move,24,-1,,1
172,7,move,13,5,,1
172,8,move,15,22,,1
172,9,move,22,-5,,1
173,0,build,0,0,,0
173,1,move,20,4,,0
173,2,move,20,4,,0
173,3,move,3,-17,,0
173,4,move,23,-2,,0
173,5,move,21,3,,1
173,6,move,25,-2,,1
173,7,move,12,6,,1
173,8,move,15,23,,1
173,9,move,22,-4,,1
174,0,build,0,0,,0
174,1,move,20,4,,0
174,2,move,19,4,,0
174,3,move,3,-16,,0
174,4,move,24,-3,,0
174,5,move,22,3,,1
174,6,move,24,-2,,1
174,7,move,11,5,,1
174,8,move,15,24,,1
174,9,move,23,-4,,1
175,0,build,0,0,,0
175,1,move,19,4,,0
175,2,communicate,18,4,,0
175,3,move,3,-17,,0
175,4,move,25,-2,,0
175,5,move,23,2,,1
175,6,move,23,-2,,1
175,7,move,11,4,,1
175,8,move,16,23,,1
175,9,move,24,-4,,1
176,0,build,0,0,,0
176,1,build,18,4,,0
176,2,move,18,4,,0
176,3,move,2,-16,,0
176,4,move,24,-3,,0
176,5,move,24,3,,1
176,6,move,24,-1,,1
176,7,move,12,4,,1
176,8,move,17,23,,1
176,9,move,24,-3,,1
177,0,build,0,0,,0
177,1,move,18,4,,0
177,2,move,19,4,,0
177,3,move,1,-16,,0
177,4,move,23,-2,,0
177,5,move,25,2,,1
177,6,move,23,-2,,1
177,7,move,11,3,,1
177,8,move,18,23,,1
177,9,move,25,-3,,1
178,0,build,0,0,,0
178,1,move,19,4,,0
178,2,move,20,4,,0
178,3,move,2,-16,,0
178,4,move,22,-3,,0
178,5,move,26,1,,1
178,6,move,22,-2,,1
178,7,move,12,2,,1
178,8,move,19,24,,1
178,9,move,25,-2,,1
179,0,build,0,0,,0
179,1,move,20,4,,0
179,2,move,19,4,,0
179,3,move,1,-17,,0
179,4,move,23,-4,,0
179,5,move,27,1,,1
179,6,move,21,-2,,1
179,7,move,12,3,,1
179,8,move,20,24,,1
179,9,move,26,-3,,1
