tick,agent_id,action,x,y,other_agent_id,culture
150,0,build,0,0,,0
150,1,move,16,2,,0
150,2,communicate,15,3,,0
150,3,move,1,-7,,0
150,4,move,18,1,,0
150,5,move,20,2,,1
150,6,move,18,0,,1
150,7,move,19,-3,,1
150,8,move,10,17,,1
150,9,move,22,0,,1
151,0,build,0,0,,0
151,1,build,15,2,,0
151,2,build,15,3,,0
151,3,move,1,-8,,0
151,4,move,19,0,,0
151,5,move,21,3,,1
151,6,move,19,0,,1
151,7,move,18,-2,,1
151,8,move,11,16,,1
151,9,move,23,-1,,1
152,0,build,0,0,,0
152,1,build,15,2,,0
152,2,build,15,3,,0
152,3,move,0,-8,,0
152,4,move,20,0,,0
152,5,move,22,3,,1
152,6,move,18,-1,,1
152,7,move,17,-2,,1
152,8,move,10,17,,1
152,9,move,24,-1,,1
153,0,build,0,0,,0
153,1,move,15,2,,0
153,2,communicate,15,3,,0
153,3,move,0,-9,,0
153,4,move,19,0,,0
153,5,move,22,4,,1
153,6,move,19,-1,,1
153,7,move,18,-1,,1
153,8,move,10,18,,1
153,9,move,23,-2,,1
154,0,build,0,0,,0
154,1,build,15,3,,0
154,2,move,15,3,,0
154,3,move,-1,-10,,0
154,4,move,20,1,,0
154,5,move,21,3,,1
154,6,move,20,-1,,1
154,7,move,18,0,,1
154,8,move,11,18,,1
154,9,move,24,-3,,1
155,0,build,0,0,,0
155,1,build,15,3,,0
155,2,build,16,3,,0
155,3,move,-1,-9,,0
155,4,move,20,2,,0
155,5,move,20,2,,1
155,6,move,19,0,,1
155,7,move,19,1,,1
155,8,move,11,17,,1
155,9,move,23,-4,,1
156,0,build,0,0,,0
156,1,build,15,3,,0
156,2,build,16,3,,0
156,3,move,0,-8,,0
156,4,move,20,3,,0
156,5,move,20,1,,1
156,6,move,20,-1,,1
156,7,move,19,2,,1
156,8,move,11,16,,1
156,9,move,24,-3,,1
157,0,build,0,0,,0
157,1,build,15,3,,0
157,2,build,16,3,,0
157,3,move,-1,-7,,0
157,4,move,21,3,,0
157,5,move,19,2,,1
157,6,move,21,-1,,1
157,7,move,18,3,,1
157,8,move,12,16,,1
157,9,move,23,-3,,1
158,0,build,0,0,,0
158,1,build,15,3,,0
158,2,move,16,3,,0
158,3,move,-1,-8,,0
158,4,move,22,3,,0
158,5,move,20,2,,1
158,6,move,20,-2,,1
158,7,move,17,2,,1
158,8,move,13,16,,1
158,9,move,22,-2,,1
159,0,build,0,0,,0
159,1,build,15,3,,0
159,2,communicate,17,3,,0
159,3,move,-2,-7,,0
159,4,move,21,2,,0
159,5,move,19,3,,1
159,6,move,20,-1,,1
159,7,move,16,3,,1
159,8,move,13,17,,1
159,9,move,21,-3,,1
