tick,agent_id,action,x,y,other_agent_id,culture
240,0,build,2,0,,0
240,1,build,22,5,,0
240,2,move,23,5,,0
240,3,move,11,-14,,0
240,4,move,24,-3,,0
240,5,move,48,0,,1
240,6,move,32,3,,1
240,7,move,18,2,,1
240,8,move,35,25,,1
240,9,move,31,-10,,1
241,0,build,2,0,,0
241,1,build,22,5,,0
241,2,move,22,5,,0
241,3,move,12,-13,,0
241,4,move,25,-3,,0
241,5,move,49,-1,,1
241,6,move,31,3,,1
241,7,move,19,2,,1
241,8,move,35,24,,1
241,9,move,32,-9,,1
242,0,build,2,0,,0
242,1,build,22,5,,0
242,2,move,23,5,,0
242,3,move,11,-14,,0
242,4,move,24,-3,,0
242,5,move,50,-1,,1
242,6,move,32,4,,1
242,7,move,19,1,,1
242,8,move,36,24,,1
242,9,move,32,-8,,1
243,0,build,2,0,,0
243,1,build,22,5,,0
243,2,move,22,5,,0
243,3,move,10,-14,,0
243,4,move,23,-2,,0
243,5,move,50,0,,1
243,6,move,31,3,,1
243,7,move,20,1,,1
243,8,move,37,24,,1
243,9,move,32,-7,,1
244,0,build,2,0,,0
244,1,build,22,5,,0
244,2,build,21,5,,0
244,3,move,9,-13,,0
244,4,move,22,-1,,0
244,5,move,49,0,,1
244,6,move,32,3,,1
244,7,move,19,2,,1
244,8,move,38,24,,1
244,9,move,33,-8,,1
245,0,build,2,0,,0
245,1,move,22,5,,0
245,2,communicate,21,5,,0
245,3,move,10,-12,,0
245,4,move,21,-1,,0
245,5,move,48,0,,1
245,6,move,33,2,,1
245,7,move,20,2,,1
245,8,move,39,24,,1
245,9,move,34,-9,,1
246,0,build,2,0,,0
246,1,move,21,5,,0
246,2,move,21,5,,0
246,3,move,10,-13,,0
246,4,move,22,-1,,0
246,5,move,47,1,,1
246,6,move,34,2,,1
246,7,move,21,3,,1
246,8,move,40,24,,1
246,9,move,33,-8,,1
247,0,build,2,0,,0
247,1,build,22,5,,0
247,2,move,20,5,,0
247,3,move,10,-12,,0
247,4,move,23,-2,,0
247,5,move,47,2,,1
247,6,move,35,1,,1
247,7,move,22,4,,1
247,8,move,39,24,,1
247,9,move,34,-9,,1
248,0,build,2,0,,0
248,1,move,22,5,,0
248,2,move,22,5,,0
248,3,move,11,-12,,0
248,4,move,23,-3,,0
248,5,move,46,1,,1
248,6,move,36,2,,1
248,7,move,23,5,,1
248,8,move,39,25,,1
248,9,move,33,-8,,1
249,0,build,2,0,,0
249,1,build,23,5,,0
249,2,move,21,5,,0
249,3,move,12,-12,,0
249,4,move,24,-3,,0
249,5,move,47,0,,1
249,6,move,37,2,,1
249,7,move,24,4,,1
249,8,move,39,26,,1
249,9,move,32,-8,,1
