tick,agent_id,action,x,y,other_agent_id,culture
400,0,build,2,0,,0
400,1,move,55,9,,0
400,2,move,61,2,,0
400,3,move,62,3,,0
400,4,move,67,5,,0
400,5,move,68,19,,1
400,6,move,77,-9,,1
400,7,move,32,20,,1
400,8,move,39,-4,,1
400,9,move,22,-24,,1
401,0,build,2,0,,0
401,1,move,56,9,,0
401,2,move,62,3,,0
401,3,move,62,4,,0
401,4,move,68,5,,0
401,5,move,69,19,,1
401,6,move,78,-8,,1
401,7,move,31,20,,1
401,8,move,40,-5,,1
401,9,move,23,-24,,1
402,0,build,2,0,,0
402,1,build,56,8,,0
402,2,move,62,4,,0
402,3,move,61,4,,0
402,4,move,69,4,,0
402,5,move,68,18,,1
402,6,move,79,-7,,1
402,7,move,31,19,,1
402,8,move,41,-5,,1
402,9,move,22,-24,,1
403,0,build,2,0,,0
403,1,move,56,8,,0
403,2,move,61,4,,0
403,3,move,62,4,,0
403,4,move,68,5,,0
403,5,move,69,18,,1
403,6,move,80,-7,,1
403,7,move,30,18,,1
403,8,move,41,-6,,1
403,9,move,23,-24,,1
404,0,build,2,0,,0
404,1,move,57,8,,0
404,2,build,62,4,,0
404,3,move,63,4,,0
404,4,move,69,5,,0
404,5,move,69,17,,1
404,6,move,80,-8,,1
404,7,move,31,18,,1
404,8,move,40,-5,,1
404,9,move,24,-25,,1
405,0,build,2,0,,0
405,1,move,57,9,,0
405,2,build,62,4,,0
405,3,move,64,4,,0
405,4,move,69,4,,0
405,5,move,70,17,,1
405,6,move,81,-7,,1
405,7,move,31,17,,1
405,8,move,41,-6,,1
405,9,move,25,-26,,1
406,0,build,2,0,,0
406,1,move,58,9,,0
406,2,move,62,4,,0
406,3,move,65,4,,0
406,4,move,70,4,,0
406,5,move,71,17,,1
406,6,move,82,-7,,1
406,7,move,32,18,,1
406,8,move,41,-7,,1
406,9,move,25,-27,,1
407,0,build,2,0,,0
407,1,move,58,10,,0
407,2,move,63,4,,0
407,3,move,65,3,,0
407,4,move,71,5,,0
407,5,move,70,16,,1
407,6,move,81,-8,,1
407,7,move,32,19,,1
407,8,move,40,-6,,1
407,9,move,24,-28,,1
408,0,build,2,0,,0
408,1,move,57,10,,0
408,2,move,65,3,,0
408,3,move,65,2,,0
408,4,move,72,5,,0
408,5,move,71,16,,1
408,6,move,81,-7,,1
408,7,move,33,19,,1
408,8,move,41,-7,,1
408,9,move,24,-27,,1
409,0,build,2,0,,0
409,1,move,58,10,,0
409,2,move,66,3,,0
409,3,move,66,3,,0
409,4,move,73,5,,0
409,5,move,71,15,,1
409,6,move,80,-7,,1
409,7,move,34,19,,1
409,8,move,42,-7,,1
409,9,move,25,-27,,1
