tick,agent_id,action,x,y,other_agent_id,culture
380,0,build,2,0,,0
380,1,move,49,6,,0
380,2,move,56,3,,0
380,3,move,57,2,,0
380,4,move,69,-3,,0
380,5,move,60,19,,1
380,6,move,69,-7,,1
380,7,move,27,17,,1
380,8,move,35,-3,,1
380,9,move,14,-30,,1
381,0,build,2,0,,0
381,1,move,49,7,,0
381,2,build,57,2,,0
381,3,move,58,3,,0
381,4,move,69,-4,,0
381,5,move,61,19,,1
381,6,move,70,-8,,1
381,7,move,28,16,,1
381,8,move,36,-3,,1
381,9,move,14,-29,,1
382,0,build,2,0,,0
382,1,build,49,8,,0
382,2,move,57,2,,0
382,3,move,59,2,,0
382,4,move,68,-5,,0
382,5,move,61,20,,1
382,6,move,71,-7,,1
382,7,move,29,15,,1
382,8,move,37,-3,,1
382,9,move,13,-29,,1
383,0,build,2,0,,0
383,1,build,49,8,,0
383,2,move,59,2,,0
383,3,move,58,3,,0
383,4,move,69,-4,,0
383,5,move,62,20,,1
383,6,move,72,-7,,1
383,7,move,29,14,,1
383,8,move,36,-3,,1
383,9,move,14,-29,,1
384,0,build,2,0,,0
384,1,build,49,8,,0
384,2,move,58,2,,0
384,3,move,59,3,,0
384,4,move,68,-4,,0
384,5,move,63,20,,1
384,6,move,73,-8,,1
384,7,move,30,15,,1
384,8,move,37,-3,,1
384,9,move,14,-28,,1
385,0,build,2,0,,0
385,1,move,49,8,,0
385,2,move,59,3,,0
385,3,move,58,4,,0
385,4,move,68,-3,,0
385,5,move,64,20,,1
385,6,move,74,-9,,1
385,7,move,31,15,,1
385,8,move,36,-4,,1
385,9,move,15,-27,,1
386,0,build,2,0,,0
386,1,move,49,9,,0
386,2,move,60,3,,0
386,3,move,59,5,,0
386,4,move,67,-2,,0
386,5,move,65,19,,1
386,6,move,73,-8,,1
386,7,move,31,16,,1
386,8,move,35,-5,,1
386,9,move,15,-28,,1
387,0,build,2,0,,0
387,1,move,50,9,,0
387,2,build,59,3,,0
387,3,move,58,5,,0
387,4,move,66,-1,,0
387,5,move,64,20,,1
387,6,move,72,-8,,1
387,7,move,30,17,,1
387,8,move,35,-6,,1
387,9,move,16,-28,,1
388,0,build,2,0,,0
388,1,move,49,9,,0
388,2,move,59,3,,0
388,3,move,58,6,,0
388,4,move,66,0,,0
388,5,move,64,19,,1
388,6,move,73,-8,,1
388,7,move,29,18,,1
388,8,move,36,-6,,1
388,9,move,15,-27,,1
389,0,build,2,0,,0
389,1,move,48,9,,0
389,2,move,60,3,,0
389,3,move,59,5,,0
389,4,move,67,0,,0
389,5,move,64,18,,1
389,6,move,72,-8,,1
389,7,move,29,19,,1
389,8,move,37,-6,,1
389,9,move,16,-27,,1
