tick,agent_id,action,x,y,other_agent_id,culture
160,0,build,0,0,,0
160,1,build,15,3,,0
160,2,build,17,3,,0
160,3,move,-3,-8,,0
160,4,move,21,1,,0
160,5,move,20,2,,1
160,6,move,21,-2,,1
160,7,move,15,2,,1
160,8,move,13,18,,1
160,9,move,21,-2,,1
161,0,build,0,0,,0
161,1,move,15,3,,0
161,2,build,17,3,,0
161,3,move,-3,-9,,0
161,4,move,22,1,,0
161,5,move,20,3,,1
161,6,move,22,-2,,1
161,7,move,16,3,,1
161,8,move,12,18,,1
161,9,move,20,-2,,1
162,0,build,0,0,,0
162,1,build,17,3,,0
162,2,move,17,3,,0
162,3,move,-2,-10,,0
162,4,move,21,0,,0
162,5,move,19,4,,1
162,6,move,22,-1,,1
162,7,move,16,2,,1
162,8,move,11,19,,1
162,9,move,21,-3,,1
163,0,build,0,0,,0
163,1,communicate,17,3,,0
163,2,move,16,3,,0
163,3,move,-2,-9,,0
163,4,move,21,1,,0
163,5,move,20,4,,1
163,6,move,21,-1,,1
163,7,move,15,3,,1
163,8,move,12,18,,1
163,9,move,22,-4,,1
164,0,build,0,0,,0
164,1,move,17,3,,0
164,2,move,15,4,,0
164,3,move,-1,-10,,0
164,4,move,22,0,,0
164,5,move,20,5,,1
164,6,move,22,-1,,1
164,7,move,14,2,,1
164,8,move,11,18,,1
164,9,move,21,-3,,1
165,0,build,0,0,,0
165,1,build,18,3,,0
165,2,move,16,4,,0
165,3,move,-1,-11,,0
165,4,move,23,-1,,0
165,5,move,19,5,,1
165,6,move,23,-2,,1
165,7,move,13,3,,1
165,8,move,10,19,,1
165,9,move,21,-4,,1
166,0,build,0,0,,0
166,1,build,18,3,,0
166,2,communicate,17,4,,0
166,3,move,-1,-12,,0
166,4,move,24,0,,0
166,5,move,20,4,,1
166,6,move,22,-3,,1
166,7,move,12,2,,1
166,8,move,11,19,,1
166,9,move,22,-3,,1
167,0,build,0,0,,0
167,1,move,18,3,,0
167,2,move,17,4,,0
167,3,move,-2,-13,,0
167,4,move,25,-1,,0
167,5,move,20,3,,1
167,6,move,23,-3,,1
167,7,move,13,2,,1
167,8,move,12,20,,1
167,9,move,21,-4,,1
168,0,build,0,0,,0
168,1,move,19,3,,0
168,2,move,18,4,,0
168,3,move,-1,-14,,0
168,4,move,24,0,,0
168,5,move,21,4,,1
168,6,move,24,-3,,1
168,7,move,14,3,,1
168,8,move,13,21,,1
168,9,move,20,-4,,1
169,0,build,0,0,,0
169,1,move,19,4,,0
169,2,move,19,4,,0
169,3,move,0,-15,,0
169,4,move,23,0,,0
169,5,move,21,3,,1
169,6,move,23,-3,,1
169,7,move,13,4,,1
169,8,move,14,21,,1
169,9,move,21,-5,,1
