tick,agent_id,action,x,y,other_agent_id,culture
370,0,build,2,0,,0
370,1,build,48,7,,0
370,2,move,49,7,,0
370,3,move,54,6,,0
370,4,move,64,-5,,0
370,5,move,57,21,,1
370,6,move,68,-7,,1
370,7,move,30,14,,1
370,8,move,35,-4,,1
370,9,move,12,-28,,1
371,0,build,2,0,,0
371,1,move,48,7,,0
371,2,build,48,7,,0
371,3,move,55,6,,0
371,4,move,65,-4,,0
371,5,move,58,21,,1
371,6,move,69,-7,,1
371,7,move,29,14,,1
371,8,move,34,-4,,1
371,9,move,13,-27,,1
372,0,build,2,0,,0
372,1,build,48,8,,0
372,2,build,48,7,,0
372,3,move,56,6,,0
372,4,move,65,-5,,0
372,5,move,57,22,,1
372,6,move,68,-6,,1
372,7,move,28,13,,1
372,8,move,35,-4,,1
372,9,move,14,-28,,1
373,0,build,2,0,,0
373,1,move,48,8,,0
373,2,move,48,7,,0
373,3,move,57,6,,0
373,4,move,65,-4,,0
373,5,move,57,21,,1
373,6,move,69,-6,,1
373,7,move,29,14,,1
373,8,move,35,-3,,1
373,9,move,13,-29,,1
374,0,build,2,0,,0
374,1,move,48,7,,0
374,2,move,49,7,,0
374,3,move,56,5,,0
374,4,move,65,-3,,0
374,5,move,56,20,,1
374,6,move,69,-7,,1
374,7,move,29,15,,1
374,8,move,36,-4,,1
374,9,move,14,-29,,1
375,0,build,2,0,,0
375,1,move,49,7,,0
375,2,build,48,7,,0
375,3,move,55,4,,0
375,4,move,65,-2,,0
375,5,move,57,20,,1
375,6,move,68,-7,,1
375,7,move,28,15,,1
375,8,move,37,-3,,1
375,9,move,15,-28,,1
376,0,build,2,0,,0
376,1,move,48,7,,0
376,2,move,48,7,,0
376,3,move,54,5,,0
376,4,move,66,-3,,0
376,5,move,57,21,,1
376,6,move,67,-6,,1
376,7,move,29,15,,1
376,8,move,38,-3,,1
376,9,move,14,-29,,1
377,0,build,2,0,,0
377,1,build,48,6,,0
377,2,build,54,5,,0
377,3,move,55,4,,0
377,4,move,66,-2,,0
377,5,move,58,20,,1
377,6,move,66,-7,,1
377,7,move,28,16,,1
377,8,move,38,-4,,1
377,9,move,15,-29,,1
378,0,build,2,0,,0
378,1,build,48,6,,0
378,2,move,54,5,,0
378,3,move,55,3,,0
378,4,move,67,-3,,0
378,5,move,58,19,,1
378,6,move,67,-7,,1
378,7,move,27,16,,1
378,8,move,37,-3,,1
378,9,move,14,-29,,1
379,0,build,2,0,,0
379,1,move,48,6,,0
379,2,move,55,4,,0
379,3,move,56,2,,0
379,4,move,68,-4,,0
379,5,move,59,19,,1
379,6,move,68,-7,,1
379,7,move,26,17,,1
379,8,move,36,-3,,1
379,9,move,13,-30,,1
