tick,agent_id,action,x,y,other_agent_id,culture
100,0,build,0,0,,0
100,1,communicate,10,2,,0
100,2,move,9,1,,0
100,3,move,3,-4,,0
100,4,move,9,0,,0
100,5,move,16,4,,1
100,6,move,17,3,,1
100,7,move,14,4,,1
100,8,move,5,15,,1
100,9,move,12,-6,,1
101,0,build,0,0,,0
101,1,communicate,10,2,,0
101,2,communicate,10,1,,0
101,3,move,3,-5,,0
101,4,move,9,-1,,0
101,5,move,16,5,,1
101,6,move,18,3,,1
101,7,move,14,5,,1
101,8,move,4,15,,1
101,9,move,13,-6,,1
102,0,build,0,0,,0
102,1,move,10,2,,0
102,2,move,10,1,,0
102,3,move,2,-6,,0
102,4,move,8,-2,,0
102,5,move,17,5,,1
102,6,move,17,3,,1
102,7,move,14,4,,1
102,8,move,4,14,,1
102,9,move,13,-7,,1
103,0,build,0,0,,0
103,1,move,9,3,,0
103,2,move,11,1,,0
103,3,move,3,-6,,0
103,4,move,9,-1,,0
103,5,move,16,6,,1
103,6,move,16,2,,1
103,7,move,15,4,,1
103,8,move,5,14,,1
103,9,move,14,-6,,1
104,0,build,0,0,,0
104,1,communicate,10,3,,0
104,2,move,12,1,,0
104,3,move,4,-6,,0
104,4,move,10,-1,,0
104,5,move,16,5,,1
104,6,move,16,1,,1
104,7,move,15,5,,1
104,8,move,6,14,,1
104,9,move,14,-7,,1
105,0,build,0,0,,0
105,1,move,10,3,,0
105,2,move,10,2,,0
105,3,move,3,-6,,0
105,4,move,10,0,,0
105,5,move,17,5,,1
105,6,move,17,1,,1
105,7,move,16,5,,1
105,8,move,6,13,,1
105,9,move,14,-6,,1
106,0,build,0,0,,0
106,1,move,10,2,,0
106,2,build,11,2,,0
106,3,move,2,-5,,0
106,4,move,9,-1,,0
106,5,move,18,5,,1
106,6,move,18,1,,1
106,7,move,17,5,,1
106,8,move,7,14,,1
106,9,move,13,-7,,1
107,0,build,0,0,,0
107,1,build,9,2,,0
107,2,move,11,2,,0
107,3,move,1,-6,,0
107,4,move,10,-1,,0
107,5,move,19,6,,1
107,6,move,18,2,,1
107,7,move,18,6,,1
107,8,move,8,15,,1
107,9,move,13,-6,,1
108,0,build,0,0,,0
108,1,build,9,2,,0
108,2,communicate,10,2,,0
108,3,move,1,-5,,0
108,4,move,10,0,,0
108,5,move,18,5,,1
108,6,move,18,3,,1
108,7,move,19,5,,1
108,8,move,9,15,,1
108,9,move,12,-5,,1
109,0,build,0,0,,0
109,1,move,9,2,,0
109,2,move,10,2,,0
109,3,move,0,-6,,0
109,4,move,9,-1,,0
109,5,move,17,6,,1
109,6,move,17,2,,1
109,7,move,20,5,,1
109,8,move,9,16,,1
109,9,move,12,-6,,1
