tick,agent_id,action,x,y,other_agent_id,culture
390,0,build,2,0,,0
390,1,move,49,9,,0
390,2,build,59,3,,0
390,3,move,58,6,,0
390,4,move,68,0,,0
390,5,move,65,18,,1
390,6,move,72,-7,,1
390,7,move,30,20,,1
390,8,move,38,-6,,1
390,9,move,17,-28,,1
391,0,build,2,0,,0
391,1,move,50,9,,0
391,2,move,59,3,,0
391,3,move,58,5,,0
391,4,move,67,0,,0
391,5,move,64,18,,1
391,6,move,73,-8,,1
391,7,move,29,20,,1
391,8,move,39,-7,,1
391,9,move,18,-28,,1
392,0,build,2,0,,0
392,1,move,51,9,,0
392,2,move,58,3,,0
392,3,move,58,4,,0
392,4,move,66,0,,0
392,5,move,65,19,,1
392,6,move,72,-9,,1
392,7,move,30,21,,1
392,8,move,38,-6,,1
392,9,move,17,-28,,1
393,0,build,2,0,,0
393,1,move,52,10,,0
393,2,move,58,4,,0
393,3,move,59,4,,0
393,4,move,67,0,,0
393,5,move,64,19,,1
393,6,move,72,-10,,1
393,7,move,31,21,,1
393,8,move,38,-5,,1
393,9,move,18,-27,,1
394,0,build,2,0,,0
394,1,move,53,10,,0
394,2,build,59,4,,0
394,3,move,59,3,,0
394,4,move,67,1,,0
394,5,move,65,19,,1
394,6,move,73,-11,,1
394,7,move,30,21,,1
394,8,move,39,-5,,1
394,9,move,19,-27,,1
395,0,build,2,0,,0
395,1,move,53,9,,0
395,2,move,59,4,,0
395,3,move,59,2,,0
395,4,move,68,1,,0
395,5,move,65,18,,1
395,6,move,74,-11,,1
395,7,move,31,21,,1
395,8,move,38,-6,,1
395,9,move,19,-26,,1
396,0,build,2,0,,0
396,1,move,54,9,,0
396,2,move,60,4,,0
396,3,move,58,2,,0
396,4,move,69,2,,0
396,5,move,66,18,,1
396,6,move,75,-12,,1
396,7,move,30,20,,1
396,8,move,37,-5,,1
396,9,move,20,-25,,1
397,0,build,2,0,,0
397,1,build,54,8,,0
397,2,move,58,4,,0
397,3,move,59,3,,0
397,4,move,68,2,,0
397,5,move,67,18,,1
397,6,move,76,-11,,1
397,7,move,29,21,,1
397,8,move,38,-5,,1
397,9,move,21,-26,,1
398,0,build,2,0,,0
398,1,move,54,8,,0
398,2,move,59,4,,0
398,3,move,60,2,,0
398,4,move,67,3,,0
398,5,move,68,19,,1
398,6,move,77,-11,,1
398,7,move,30,21,,1
398,8,move,37,-4,,1
398,9,move,20,-25,,1
399,0,build,2,0,,0
399,1,move,55,8,,0
399,2,move,60,4,,0
399,3,move,61,2,,0
399,4,move,66,4,,0
399,5,move,69,20,,1
399,6,move,76,-10,,1
399,7,move,31,20,,1
399,8,move,38,-4,,1
399,9,move,21,-25,,1
