tick,agent_id,action,x,y,other_agent_id,culture
60,0,build,0,0,,0
60,1,build,0,0,,0
60,2,build,3,6,,0
60,3,move,2,6,,0
60,4,move,16,-12,,0
60,5,move,11,12,,1
60,6,move,13,7,,1
60,7,move,8,11,,1
60,8,move,9,1,,1
60,9,move,12,-7,,1
61,0,build,0,0,,0
61,1,build,0,0,,0
61,2,move,3,6,,0
61,3,move,1,7,,0
61,4,move,17,-13,,0
61,5,move,11,11,,1
61,6,move,14,6,,1
61,7,move,8,10,,1
61,8,move,8,0,,1
61,9,move,12,-6,,1
62,0,build,0,0,,0
62,1,build,0,0,,0
62,2,build,4,6,,0
62,3,move,2,7,,0
62,4,move,16,-14,,0
62,5,move,10,11,,1
62,6,move,15,5,,1
62,7,move,8,11,,1
62,8,move,7,-1,,1
62,9,move,12,-5,,1
63,0,build,0,0,,0
63,1,build,0,0,,0
63,2,move,4,6,,0
63,3,move,3,7,,0
63,4,move,17,-13,,0
63,5,move,11,11,,1
63,6,move,16,4,,1
63,7,move,9,10,,1
63,8,move,6,-2,,1
63,9,move,13,-6,,1
64,0,build,0,0,,0
64,1,move,0,0,,0
64,2,build,3,6,,0
64,3,move,2,7,,0
64,4,move,16,-12,,0
64,5,move,10,11,,1
64,6,move,15,3,,1
64,7,move,8,9,,1
64,8,move,6,-1,,1
64,9,move,12,-6,,1
65,0,build,0,0,,0
65,1,move,3,6,,0
65,2,move,3,6,,0
65,3,move,2,8,,0
65,4,move,15,-12,,0
65,5,move,11,11,,1
65,6,move,14,3,,1
65,7,move,7,8,,1
65,8,move,7,-2,,1
65,9,move,11,-7,,1
66,0,build,0,0,,0
66,1,build,3,6,,0
66,2,build,2,8,,0
66,3,move,2,7,,0
66,4,move,16,-12,,0
66,5,move,10,12,,1
66,6,move,14,2,,1
66,7,move,8,7,,1
66,8,move,8,-2,,1
66,9,move,11,-6,,1
67,0,build,0,0,,0
67,1,build,3,6,,0
67,2,build,2,8,,0
67,3,move,2,8,,0
67,4,move,15,-11,,0
67,5,move,11,13,,1
67,6,move,15,1,,1
67,7,move,8,8,,1
67,8,move,8,-3,,1
67,9,move,12,-7,,1
68,0,build,0,0,,0
68,1,build,3,6,,0
68,2,move,2,8,,0
68,3,move,3,7,,0
68,4,move,16,-11,,0
68,5,move,10,14,,1
68,6,move,16,0,,1
68,7,move,9,9,,1
68,8,move,7,-2,,1
68,9,move,11,-6,,1
69,0,build,0,0,,0
69,1,move,3,6,,0
69,2,build,3,6,,0
69,3,move,2,6,,0
69,4,move,15,-10,,0
69,5,move,11,15,,1
69,6,move,17,0,,1
69,7,move,10,9,,1
69,8,move,6,-1,,1
69,9,move,11,-7,,1
