tick,agent_id,action,x,y,other_agent_id,culture
360,0,build,2,0,,0
360,1,move,49,7,,0
360,2,build,48,7,,0
360,3,move,46,5,,0
360,4,move,71,-5,,0
360,5,move,59,21,,1
360,6,move,65,-5,,1
360,7,move,27,11,,1
360,8,move,31,-7,,1
360,9,move,8,-29,,1
361,0,build,2,0,,0
361,1,move,48,7,,0
361,2,build,48,7,,0
361,3,move,47,6,,0
361,4,move,70,-4,,0
361,5,move,58,21,,1
361,6,move,66,-5,,1
361,7,move,26,10,,1
361,8,move,32,-7,,1
361,9,move,9,-28,,1
362,0,build,2,0,,0
362,1,move,48,8,,0
362,2,move,48,7,,0
362,3,move,48,5,,0
362,4,move,69,-5,,0
362,5,move,58,22,,1
362,6,move,67,-4,,1
362,7,move,25,11,,1
362,8,move,33,-7,,1
362,9,move,10,-27,,1
363,0,build,2,0,,0
363,1,build,48,7,,0
363,2,build,49,7,,0
363,3,move,49,5,,0
363,4,move,69,-6,,0
363,5,move,58,23,,1
363,6,move,68,-3,,1
363,7,move,26,10,,1
363,8,move,34,-6,,1
363,9,move,10,-26,,1
364,0,build,2,0,,0
364,1,build,48,7,,0
364,2,build,49,7,,0
364,3,move,50,5,,0
364,4,move,68,-6,,0
364,5,move,57,23,,1
364,6,move,68,-4,,1
364,7,move,27,11,,1
364,8,move,33,-6,,1
364,9,move,9,-26,,1
365,0,build,2,0,,0
365,1,build,48,7,,0
365,2,build,49,7,,0
365,3,move,51,6,,0
365,4,move,67,-5,,0
365,5,move,56,22,,1
365,6,move,67,-4,,1
365,7,move,28,11,,1
365,8,move,34,-5,,1
365,9,move,10,-26,,1
366,0,build,2,0,,0
366,1,build,48,7,,0
366,2,move,49,7,,0
366,3,move,52,7,,0
366,4,move,66,-4,,0
366,5,move,57,22,,1
366,6,move,68,-4,,1
366,7,move,29,12,,1
366,8,move,35,-6,,1
366,9,move,11,-27,,1
367,0,build,2,0,,0
367,1,move,48,7,,0
367,2,build,48,7,,0
367,3,move,51,7,,0
367,4,move,65,-3,,0
367,5,move,56,22,,1
367,6,move,68,-5,,1
367,7,move,28,13,,1
367,8,move,34,-6,,1
367,9,move,10,-28,,1
368,0,build,2,0,,0
368,1,move,48,8,,0
368,2,build,48,7,,0
368,3,move,52,7,,0
368,4,move,66,-3,,0
368,5,move,57,22,,1
368,6,move,69,-5,,1
368,7,move,28,14,,1
368,8,move,35,-5,,1
368,9,move,10,-27,,1
369,0,build,2,0,,0
369,1,build,48,7,,0
369,2,move,48,7,,0
369,3,move,53,6,,0
369,4,move,65,-4,,0
369,5,move,58,22,,1
369,6,move,69,-6,,1
369,7,move,29,14,,1
369,8,move,34,-4,,1
369,9,move,11,-27,,1
