tick,agent_id,action,x,y,other_agent_id,culture
250,0,build,2,0,,0
250,1,build,25,11,,0
250,2,move,23,11,,0
250,3,move,24,11,,0
250,4,move,50,-5,,0
250,5,move,40,14,,1
250,6,move,55,4,,1
250,7,move,32,9,,1
250,8,move,19,-3,,1
250,9,move,7,-25,,1
251,0,build,2,0,,0
251,1,build,25,11,,0
251,2,move,24,11,,0
251,3,move,25,10,,0
251,4,move,50,-6,,0
251,5,move,41,14,,1
251,6,move,54,4,,1
251,7,move,32,10,,1
251,8,move,18,-2,,1
251,9,move,6,-25,,1
252,0,build,2,0,,0
252,1,build,25,11,,0
252,2,build,25,11,,0
252,3,move,25,11,,0
252,4,move,51,-7,,0
252,5,move,42,14,,1
252,6,move,55,3,,1
252,7,move,33,11,,1
252,8,move,17,-1,,1
252,9,move,5,-25,,1
253,0,build,2,0,,0
253,1,move,25,11,,0
253,2,move,25,11,,0
253,3,move,26,10,,0
253,4,move,51,-8,,0
253,5,move,42,13,,1
253,6,move,54,2,,1
253,7,move,34,12,,1
253,8,move,17,0,,1
253,9,move,4,-25,,1
254,0,build,2,0,,0
254,1,move,25,11,,0
254,2,move,26,11,,0
254,3,move,27,11,,0
254,4,move,50,-8,,0
254,5,move,43,12,,1
254,6,move,54,1,,1
254,7,move,34,13,,1
254,8,move,18,0,,1
254,9,move,4,-26,,1
255,0,build,2,0,,0
255,1,build,25,12,,0
255,2,move,27,11,,0
255,3,move,27,12,,0
255,4,move,51,-8,,0
255,5,move,44,11,,1
255,6,move,54,0,,1
255,7,move,35,12,,1
255,8,move,18,1,,1
255,9,move,5,-26,,1
256,0,build,2,0,,0
256,1,build,25,12,,0
256,2,build,28,11,,0
256,3,move,26,13,,0
256,4,move,52,-7,,0
256,5,move,44,10,,1
256,6,move,54,-1,,1
256,7,move,36,13,,1
256,8,move,17,2,,1
256,9,move,4,-26,,1
257,0,build,2,0,,0
257,1,build,25,12,,0
257,2,move,28,11,,0
257,3,move,27,13,,0
257,4,move,53,-7,,0
257,5,move,45,11,,1
257,6,move,55,0,,1
257,7,move,37,13,,1
257,8,move,17,3,,1
257,9,move,4,-25,,1
258,0,build,2,0,,0
258,1,move,25,12,,0
258,2,move,29,11,,0
258,3,move,28,14,,0
258,4,move,54,-7,,0
258,5,move,45,12,,1
258,6,move,56,1,,1
258,7,move,36,13,,1
258,8,move,18,3,,1
258,9,move,5,-25,,1
259,0,build,2,0,,0
259,1,build,25,13,,0
259,2,move,30,11,,0
259,3,move,29,15,,0
259,4,move,55,-7,,0
259,5,move,46,13,,1
259,6,move,56,2,,1
259,7,move,35,12,,1
259,8,move,19,2,,1
259,9,move,6,-25,,1
