tick,agent_id,action,x,y,other_agent_id,culture
180,0,build,1,1,,0
180,1,move,28,9,,0
180,2,communicate,28,9,,0
180,3,move,29,11,,0
180,4,move,38,-6,,0
180,5,move,35,19,,1
180,6,move,40,0,,1
180,7,move,14,10,,1
180,8,move,6,-5,,1
180,9,move,7,-26,,1
181,0,build,1,1,,0
181,1,move,28,9,,0
181,2,build,28,9,,0
181,3,move,28,10,,0
181,4,move,37,-6,,0
181,5,move,34,18,,1
181,6,move,41,-1,,1
181,7,move,15,10,,1
181,8,move,7,-4,,1
181,9,move,8,-26,,1
182,0,build,1,1,,0
182,1,move,28,10,,0
182,2,move,28,9,,0
182,3,move,29,11,,0
182,4,move,36,-5,,0
182,5,move,33,17,,1
182,6,move,42,-1,,1
182,7,move,16,9,,1
182,8,move,8,-3,,1
182,9,move,8,-27,,1
183,0,build,1,1,,0
183,1,move,28,9,,0
183,2,move,29,11,,0
183,3,move,28,12,,0
183,4,move,35,-4,,0
183,5,move,34,17,,1
183,6,move,41,0,,1
183,7,move,17,9,,1
183,8,move,7,-3,,1
183,9,move,7,-27,,1
184,0,build,1,1,,0
184,1,move,29,11,,0
184,2,communicate,28,11,,0
184,3,move,28,11,,0
184,4,move,36,-3,,0
184,5,move,35,18,,1
184,6,move,40,-1,,1
184,7,move,18,10,,1
184,8,move,8,-2,,1
184,9,move,6,-27,,1
185,0,build,1,1,,0
185,1,build,28,11,,0
185,2,build,28,11,,0
185,3,move,27,12,,0
185,4,move,37,-4,,0
185,5,move,36,18,,1
185,6,move,41,-2,,1
185,7,move,19,11,,1
185,8,move,7,-1,,1
185,9,move,7,-27,,1
186,0,build,1,1,,0
186,1,move,28,11,,0
186,2,move,28,11,,0
186,3,move,27,13,,0
186,4,move,37,-3,,0
186,5,move,35,19,,1
186,6,move,40,-1,,1
186,7,move,19,12,,1
186,8,move,6,0,,1
186,9,move,8,-27,,1
187,0,build,1,1,,0
187,1,build,28,11,,0
187,2,move,27,13,,0
187,3,move,26,14,,0
187,4,move,36,-2,,0
187,5,move,35,20,,1
187,6,move,41,-2,,1
187,7,move,20,12,,1
187,8,move,7,1,,1
187,9,move,9,-27,,1
188,0,build,1,1,,0
188,1,move,28,11,,0
188,2,move,28,11,,0
188,3,move,27,15,,0
188,4,move,36,-3,,0
188,5,move,35,19,,1
188,6,move,41,-1,,1
188,7,move,19,12,,1
188,8,move,7,0,,1
188,9,move,8,-26,,1
189,0,build,1,1,,0
189,1,build,28,11,,0
189,2,move,29,11,,0
189,3,move,27,14,,0
189,4,move,37,-4,,0
189,5,move,34,19,,1
189,6,move,42,0,,1
189,7,move,19,11,,1
189,8,move,8,0,,1
189,9,move,7,-25,,1
