tick,agent_id,action,x,y,other_agent_id,culture
330,0,build,2,0,,0
330,1,move,45,12,,0
330,2,move,48,3,,0
330,3,move,45,3,,0
330,4,move,64,-6,,0
330,5,move,65,16,,1
330,6,move,53,-10,,1
330,7,move,29,7,,1
330,8,move,25,-5,,1
330,9,move,1,-27,,1
331,0,build,2,0,,0
331,1,move,44,12,,0
331,2,move,49,3,,0
331,3,move,46,4,,0
331,4,move,65,-6,,0
331,5,move,66,16,,1
331,6,move,54,-10,,1
331,7,move,29,8,,1
331,8,move,26,-6,,1
331,9,move,2,-28,,1
332,0,build,2,0,,0
332,1,move,44,13,,0
332,2,move,46,4,,0
332,3,move,46,3,,0
332,4,move,65,-5,,0
332,5,move,66,17,,1
332,6,move,55,-10,,1
332,7,move,28,7,,1
332,8,move,27,-7,,1
332,9,move,1,-27,,1
333,0,build,2,0,,0
333,1,move,44,14,,0
333,2,move,47,4,,0
333,3,move,46,2,,0
333,4,move,66,-6,,0
333,5,move,65,18,,1
333,6,move,56,-10,,1
333,7,move,29,8,,1
333,8,move,28,-7,,1
333,9,move,0,-28,,1
334,0,build,2,0,,0
334,1,move,45,14,,0
334,2,move,48,4,,0
334,3,move,45,3,,0
334,4,move,66,-5,,0
334,5,move,64,17,,1
334,6,move,57,-11,,1
334,7,move,29,9,,1
334,8,move,29,-6,,1
334,9,move,0,-29,,1
335,0,build,2,0,,0
335,1,move,46,14,,0
335,2,move,45,3,,0
335,3,move,46,3,,0
335,4,move,67,-5,,0
335,5,move,63,16,,1
335,6,move,56,-12,,1
335,7,move,30,9,,1
335,8,move,29,-7,,1
335,9,move,1,-29,,1
336,0,build,2,0,,0
336,1,build,47,14,,0
336,2,build,46,3,,0
336,3,move,45,4,,0
336,4,move,68,-5,,0
336,5,move,62,17,,1
336,6,move,56,-11,,1
336,7,move,29,10,,1
336,8,move,28,-7,,1
336,9,move,1,-28,,1
337,0,build,2,0,,0
337,1,build,47,14,,0
337,2,move,46,3,,0
337,3,move,44,5,,0
337,4,move,67,-5,,0
337,5,move,63,17,,1
337,6,move,57,-11,,1
337,7,move,28,9,,1
337,8,move,28,-8,,1
337,9,move,2,-28,,1
338,0,build,2,0,,0
338,1,move,47,14,,0
338,2,move,44,5,,0
338,3,move,45,6,,0
338,4,move,67,-6,,0
338,5,move,62,17,,1
338,6,move,58,-11,,1
338,7,move,27,8,,1
338,8,move,27,-8,,1
338,9,move,3,-27,,1
339,0,build,2,0,,0
339,1,move,44,5,,0
339,2,move,45,6,,0
339,3,move,46,7,,0
339,4,move,66,-5,,0
339,5,move,61,18,,1
339,6,move,59,-11,,1
339,7,move,28,9,,1
339,8,move,28,-7,,1
339,9,move,4,-28,,1
