tick,agent_id,action,x,y,other_agent_id,culture
130,0,build,0,0,,0
130,1,move,17,12,,0
130,2,move,23,13,,0
130,3,move,22,13,,0
130,4,move,27,-3,,0
130,5,move,24,16,,1
130,6,move,24,-8,,1
130,7,move,10,17,,1
130,8,move,8,2,,1
130,9,move,1,-11,,1
131,0,build,0,0,,0
131,1,build,23,13,,0
131,2,build,17,12,,0
131,3,move,23,14,,0
131,4,move,27,-4,,0
131,5,move,25,16,,1
131,6,move,23,-9,,1
131,7,move,11,16,,1
131,8,move,9,2,,1
131,9,move,2,-11,,1
132,0,build,0,0,,0
132,1,build,23,13,,0
132,2,move,17,12,,0
132,3,move,23,15,,0
132,4,move,28,-4,,0
132,5,move,26,15,,1
132,6,move,24,-8,,1
132,7,move,12,15,,1
132,8,move,8,3,,1
132,9,move,3,-11,,1
133,0,build,0,0,,0
133,1,move,23,13,,0
133,2,move,18,12,,0
133,3,move,23,14,,0
133,4,move,28,-3,,0
133,5,move,25,14,,1
133,6,move,23,-8,,1
133,7,move,11,15,,1
133,8,move,7,4,,1
133,9,move,2,-12,,1
134,0,build,0,0,,0
134,1,move,24,13,,0
134,2,move,17,12,,0
134,3,move,24,14,,0
134,4,move,29,-3,,0
134,5,move,26,15,,1
134,6,move,24,-7,,1
134,7,move,10,15,,1
134,8,move,6,5,,1
134,9,move,2,-13,,1
135,0,build,0,0,,0
135,1,build,24,14,,0
135,2,communicate,18,12,,0
135,3,move,25,13,,0
135,4,move,28,-3,,0
135,5,move,27,15,,1
135,6,move,25,-7,,1
135,7,move,11,14,,1
135,8,move,6,6,,1
135,9,move,1,-14,,1
136,0,build,0,0,,0
136,1,communicate,24,14,,0
136,2,move,18,12,,0
136,3,move,25,14,,0
136,4,move,28,-4,,0
136,5,move,28,14,,1
136,6,move,24,-6,,1
136,7,move,12,13,,1
136,8,move,7,6,,1
136,9,move,2,-14,,1
137,0,build,0,0,,0
137,1,build,24,14,,0
137,2,move,19,12,,0
137,3,move,24,15,,0
137,4,move,28,-5,,0
137,5,move,27,15,,1
137,6,move,25,-6,,1
137,7,move,11,12,,1
137,8,move,7,5,,1
137,9,move,3,-14,,1
138,0,build,0,0,,0
138,1,build,24,14,,0
138,2,move,24,14,,0
138,3,move,23,16,,0
138,4,move,27,-6,,0
138,5,move,27,16,,1
138,6,move,24,-5,,1
138,7,move,11,13,,1
138,8,move,7,4,,1
138,9,move,2,-14,,1
139,0,build,0,0,,0
139,1,move,24,14,,0
139,2,build,23,13,,0
139,3,move,24,15,,0
139,4,move,28,-5,,0
139,5,move,27,15,,1
139,6,move,24,-4,,1
139,7,move,12,14,,1
139,8,move,7,3,,1
139,9,move,1,-15,,1
