tick,agent_id,action,x,y,other_agent_id,culture
40,0,build,0,0,,0
40,1,build,0,-1,,0
40,2,build,2,-6,,0
40,3,move,5,-4,,0
40,4,move,4,-8,,0
40,5,move,11,14,,1
40,6,move,12,-3,,1
40,7,move,11,11,,1
40,8,move,8,4,,1
40,9,move,9,0,,1
41,0,build,0,0,,0
41,1,build,0,-1,,0
41,2,build,2,-6,,0
41,3,move,5,-3,,0
41,4,move,4,-7,,0
41,5,move,11,13,,1
41,6,move,12,-2,,1
41,7,move,11,10,,1
41,8,move,8,3,,1
41,9,move,8,-1,,1
42,0,build,0,0,,0
42,1,build,0,-1,,0
42,2,move,2,-6,,0
42,3,move,4,-3,,0
42,4,move,5,-7,,0
42,5,move,12,13,,1
42,6,move,12,-1,,1
42,7,move,10,9,,1
42,8,move,9,3,,1
42,9,move,9,-2,,1
43,0,build,0,0,,0
43,1,communicate,0,-1,,0
43,2,build,3,-6,,0
43,3,move,4,-2,,0
43,4,move,6,-8,,0
43,5,move,11,13,,1
43,6,move,11,0,,1
43,7,move,9,10,,1
43,8,move,9,4,,1
43,9,move,9,-3,,1
44,0,build,0,0,,0
44,1,build,0,-1,,0
44,2,move,3,-6,,0
44,3,move,5,-1,,0
44,4,move,6,-9,,0
44,5,move,10,13,,1
44,6,move,10,1,,1
44,7,move,10,10,,1
44,8,move,8,4,,1
44,9,move,9,-4,,1
45,0,build,0,0,,0
45,1,build,0,-1,,0
45,2,communicate,5,-5,,0
45,3,move,6,-1,,0
45,4,move,7,-10,,0
45,5,move,11,13,,1
45,6,move,11,1,,1
45,7,move,11,10,,1
45,8,move,7,5,,1
45,9,move,9,-3,,1
46,0,build,0,0,,0
46,1,build,0,-1,,0
46,2,build,5,-5,,0
46,3,move,7,-2,,0
46,4,move,8,-11,,0
46,5,move,12,13,,1
46,6,move,11,2,,1
46,7,move,12,10,,1
46,8,move,8,6,,1
46,9,move,8,-4,,1
47,0,build,0,0,,0
47,1,build,0,-1,,0
47,2,move,5,-5,,0
47,3,move,7,-1,,0
47,4,move,9,-10,,0
47,5,move,13,14,,1
47,6,move,10,1,,1
47,7,move,11,10,,1
47,8,move,8,5,,1
47,9,move,9,-4,,1
48,0,build,0,0,,0
48,1,move,0,-1,,0
48,2,build,7,-1,,0
48,3,move,6,-2,,0
48,4,move,10,-10,,0
48,5,move,12,15,,1
48,6,move,11,2,,1
48,7,move,10,9,,1
48,8,move,8,4,,1
48,9,move,8,-5,,1
49,0,build,0,0,,0
49,1,build,0,0,,0
49,2,build,7,-1,,0
49,3,move,6,-1,,0
49,4,move,11,-10,,0
49,5,move,12,14,,1
49,6,move,12,3,,1
49,7,move,10,8,,1
49,8,move,9,5,,1
49,9,move,9,-6,,1
