tick,agent_id,action,x,y,other_agent_id,culture
260,0,build,2,0,,0
260,1,build,24,5,,0
260,2,move,2,0,,0
260,3,move,7,-12,,0
260,4,move,27,-5,,0
260,5,move,44,-2,,1
260,6,move,40,5,,1
260,7,move,26,8,,1
260,8,move,38,23,,1
260,9,move,35,-8,,1
261,0,build,2,0,,0
261,1,build,24,5,,0
261,2,move,2,1,,0
261,3,move,8,-11,,0
261,4,move,27,-6,,0
261,5,move,43,-2,,1
261,6,move,41,4,,1
261,7,move,27,9,,1
261,8,move,38,22,,1
261,9,move,34,-8,,1
262,0,build,2,0,,0
262,1,build,24,5,,0
262,2,build,3,1,,0
262,3,move,9,-12,,0
262,4,move,27,-5,,0
262,5,move,44,-2,,1
262,6,move,42,4,,1
262,7,move,28,10,,1
262,8,move,37,22,,1
262,9,move,35,-9,,1
263,0,build,2,0,,0
263,1,move,24,5,,0
263,2,move,3,1,,0
263,3,move,10,-12,,0
263,4,move,27,-6,,0
263,5,move,45,-1,,1
263,6,move,41,5,,1
263,7,move,28,9,,1
263,8,move,38,22,,1
263,9,move,36,-10,,1
264,0,build,2,0,,0
264,1,build,25,5,,0
264,2,move,4,1,,0
264,3,move,9,-13,,0
264,4,move,26,-6,,0
264,5,move,46,-1,,1
264,6,move,41,4,,1
264,7,move,29,9,,1
264,8,move,39,23,,1
264,9,move,36,-11,,1
265,0,build,2,0,,0
265,1,build,25,5,,0
265,2,move,5,1,,0
265,3,move,10,-12,,0
265,4,move,27,-6,,0
265,5,move,45,-2,,1
265,6,move,42,4,,1
265,7,move,29,8,,1
265,8,move,39,22,,1
265,9,move,37,-11,,1
266,0,build,2,0,,0
266,1,build,25,5,,0
266,2,move,6,1,,0
266,3,move,9,-11,,0
266,4,move,27,-7,,0
266,5,move,45,-3,,1
266,6,move,41,3,,1
266,7,move,30,7,,1
266,8,move,40,22,,1
266,9,move,37,-12,,1
267,0,build,2,0,,0
267,1,move,25,5,,0
267,2,move,7,1,,0
267,3,move,8,-11,,0
267,4,move,28,-8,,0
267,5,move,46,-4,,1
267,6,move,42,2,,1
267,7,move,29,7,,1
267,8,move,40,21,,1
267,9,move,38,-13,,1
268,0,build,2,0,,0
268,1,build,25,4,,0
268,2,communicate,8,1,,0
268,3,move,7,-12,,0
268,4,move,28,-7,,0
268,5,move,45,-3,,1
268,6,move,43,1,,1
268,7,move,28,6,,1
268,8,move,39,22,,1
268,9,move,37,-14,,1
269,0,build,2,0,,0
269,1,move,25,4,,0
269,2,move,8,1,,0
269,3,move,8,-11,,0
269,4,move,27,-6,,0
269,5,move,46,-4,,1
269,6,move,44,0,,1
269,7,move,27,6,,1
269,8,move,40,22,,1
269,9,move,36,-13,,1
